name,abbriviation,latitude,longitude
Antioch,ANTC,37.995388,-121.780420
Pittsburg Center,PCTR,38.016941,-121.889457
Pittsburg/Bay Point,PITT,38.018914,-121.945154
North Concord/Martinez,NCON,38.003193,-122.024653
Concord,CONC,37.973737,-122.029095
Pleasant Hill/Contra Costa Centre,PHIL,37.928468,-122.056012
Walnut Creek,WCRK,37.905522,-122.067527
Lafayette,LAFY,37.893176,-122.124630
Orinda,ORIN,37.878361,-122.183791
Rockridge,ROCK,37.844702,-122.251371
MacArthur,MCAR,37.829065,-122.267040
19th St. Oakland,19TH,37.808350,-122.268602
12th St. Oakland City Center,12TH,37.803768,-122.271450
West Oakland,WOAK,37.804872,-122.295140
Embarcadero,EMBR,37.792874,-122.397020
Montgomery St.,MONT,37.789405,-122.401066
Powell St.,POWL,37.784471,-122.407974
Civic Center/UN Plaza,CIVC,37.779732,-122.414123
16th St. Mission,16TH,37.765062,-122.419694
24th St. Mission,24TH,37.752470,-122.418143
Glen Park,GLEN,37.733064,-122.433817
Balboa Park,BALB,37.721585,-122.447506
Daly City,DALY,37.706121,-122.469081
Colma,COLM,37.684638,-122.466233
South San Francisco,SSAN,37.664245,-122.443960
San Bruno,SBRN,37.637761,-122.416287
San Francisco International Airport,SFIA,37.615966,-122.392409
Millbrae,MLBR,37.600271,-122.386702
